Title,Category,Pages,Publisher,Price,AuthorSurname,AuthorName,ISBN,Count
Fundamentals of Wavelets,signal_processing,228,Wiley,165,Goswami,Jaideva,853-46-05193-84-2,7
Data Smart,data_science,235,Wiley,297,Foreman,John,384-04-08936-25-4,4
God Created the Integers,mathematics,197,Penguin,142,Hawking,Stephen,095-04-43301-16-2,9
Superfreakonomics,economics,179,HarperCollins,188,Dubner,Stephen,263-41-76471-48-6,7
Orientalism,history,197,Penguin,195,Said,Edward,995-99-46780-01-0,3
"Nature of Statistical Learning Theory, The",data_science,230,Springer,278,Vapnik,Vladimir,363-51-06725-56-0,1
Integration of the Indian States,history,217,Orient Blackswan,245,Menon,V P,742-70-86789-19-3,4
"Drunkard's Walk, The",science,197,Penguin,184,Mlodinow,Leonard,715-41-78835-75-4,9
Image Processing & Mathematical Morphology,signal_processing,241,CRC,238,Shih,Frank,319-51-82533-48-0,1
How to Think Like Sherlock Holmes,psychology,240,Penguin,132,Konnikova,Maria,874-76-57389-17-0,9
Data Scientists at Work,data_science,230,Apress,77,Sebastian Gutierrez,,654-30-45247-94-0,5
Slaughterhouse Five,fiction,198,Random House,155,Vonnegut,Kurt,235-92-72922-11-9,7
Birth of a Theorem,mathematics,234,Bodley Head,68,Villani,Cedric,572-33-54681-26-7,3
Structure & Interpretation of Computer Programs,computer_science,240,MIT Press,213,Sussman,Gerald,706-31-96240-77-5,6
"Age of Wrath, The",history,238,Penguin,132,Eraly,Abraham,368-19-92469-29-8,8
"Trial, The",fiction,198,Random House,287,Kafka,Frank,070-31-29771-57-1,8
Statistical Decision Theory',data_science,236,MIT Press,137,Pratt,John,042-22-58910-39-2,6
Data Mining Handbook,data_science,242,Apress,185,Nisbet,Robert,372-55-72669-54-7,4
"New Machiavelli, The",fiction,180,Penguin,206,Wells,H. G.,562-86-41933-88-4,7
Physics & Philosophy,science,197,Penguin,214,Heisenberg,Werner,071-36-58134-50-9,4
Making Software,computer_science,232,O'Reilly,278,Oram,Andy,830-19-42364-98-2,3
"Analysis, Vol I",mathematics,248,HBA,241,Tao,Terence,440-63-64219-15-4,8
Machine Learning for Hackers,data_science,233,O'Reilly,299,Conway,Drew,564-70-41319-35-0,4
"Signal and the Noise, The",data_science,233,Penguin,272,Silver,Nate,642-20-77356-67-3,3
Python for Data Analysis,data_science,233,O'Reilly,267,McKinney,Wes,629-64-54999-79-6,3
Introduction to Algorithms,computer_science,234,MIT Press,275,Cormen,Thomas,880-04-42073-39-1,4
"Beautiful and the Damned, The",nonfiction,198,Penguin,262,Deb,Siddhartha,376-72-79863-69-6,1
"Outsider, The",fiction,198,Penguin,283,Camus,Albert,160-97-62445-47-1,2
"Complete Sherlock Holmes, The - Vol I",fiction,176,Random House,178,Doyle,Arthur Conan,477-43-21648-49-1,10
"Complete Sherlock Holmes, The - Vol II",fiction,176,Random House,152,Doyle,Arthur Conan,918-41-73358-57-4,6
"Wealth of Nations, The",economics,175,Random House,188,Smith,Adam,736-40-24141-47-8,10
"Pillars of the Earth, The",fiction,176,Random House,123,Follett,Ken,614-47-58621-45-5,1
Mein Kampf,nonfiction,212,Rupa,287,Hitler,Adolf,044-66-35806-33-5,10
"Tao of Physics, The",science,179,Penguin,221,Capra,Fritjof,104-22-36265-12-5,1
Surely You're Joking Mr Feynman,science,198,Random House,265,Feynman,Richard,350-81-10289-94-7,5
"Farewell to Arms, A",fiction,179,Rupa,127,Hemingway,Ernest,969-19-54742-96-9,3
"Veteran, The",fiction,177,Transworld,205,Forsyth,Frederick,329-69-32866-39-4,5
False Impressions,fiction,177,Pan,93,Archer,Jeffery,761-28-68256-95-1,3
"Last Lecture, The",nonfiction,197,Hyperion,76,Pausch,Randy,207-65-75219-07-4,9
Return of the Primitive,philosophy,202,Penguin,182,Rand,Ayn,542-09-77550-64-9,6
Jurassic Park,fiction,174,Random House,224,Crichton,Michael,685-90-55907-40-8,10
"Russian Journal, A",nonfiction,196,Penguin,169,Steinbeck,John,217-34-40824-73-7,8
Tales of Mystery and Imagination,fiction,172,HarperCollins,278,Poe,Edgar Allen,740-78-31684-47-2,9
Freakonomics,economics,197,Penguin,176,Dubner,Stephen,462-87-51697-44-0,9
"Hidden Connections, The",science,197,HarperCollins,125,Capra,Fritjof,259-29-29041-87-6,9
"Story of Philosophy, The",philosophy,170,Pocket,274,Durant,Will,958-03-35044-19-5,1
Asami Asami,fiction,205,Mauj,93,Deshpande,P L,359-13-24905-55-3,8
Journal of a Novel,fiction,196,Penguin,163,Steinbeck,John,912-31-24836-67-9,9
Once There Was a War,nonfiction,196,Penguin,156,Steinbeck,John,096-51-90707-43-0,5
"Moon is Down, The",fiction,196,Penguin,66,Steinbeck,John,506-72-21054-91-6,6
"Brethren, The",fiction,174,Random House,252,Grisham,John,102-65-36874-87-4,2
In a Free State,fiction,196,Rupa,167,Naipaul,V. S.,016-15-45473-39-3,10
Catch 22,fiction,178,Random House,93,Heller,Joseph,401-01-86345-35-8,8
